Job Title;Job Description;Job Payment;Job Link
Coding Expert;Position Overview:We are looking for a highly skilled Coding Expert to join our dynamic team. The ideal candidate will have extensive experience in software development, coding best practices, and a ;Est. budget: $5,000.00;https://www.upwork.com/freelance-jobs/apply/Coding-Expert_~021840110140637461210
Title: GPT-Based Machine Learning Model Development for Automating Cargo Damage Report Generation;Job Title: GPT Model Development for Cargo Damage Report AutomationJob Description:We are seeking a skilled Machine Learning Engineer with expertise in NLP (Natural Language Processing) to create a;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Title-GPT-Based-Machine-Learning-Model-Development-for-Automating-Cargo-Damage-Report-Generation_~021840101616897151829
Todo website using Python;I just need a webpage using Python flask where I can add my todo for a day also , I should be able to add, delete and re arrange the tasks;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Todo-website-using-span-class-highlight-Python-span_~021840097505592548773
Backend Engineer & Tech Lead Needed for Exciting Project;We are seeking an experienced Backend Engineer to take on the role of Tech Lead for our upcoming project. The ideal candidate will have a strong background in server-side development, API design, and ;Hourly;https://www.upwork.com/freelance-jobs/apply/Backend-Engineer-Tech-Lead-Needed-for-Exciting-Project_~021840047723018376021
Urgent Need Django related project;I have a driver app which I need copied over and integrated with my current Django project. The app does all necessary functions within the current project.Key Responsibilities:- Copy and paste the;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Urgent-Need-Django-related-project_~021840048499183808443
Python related task;I'm looking to set up a system where trades are executed on my main software, which will have access to the Pocket Option platform. The idea is that I will be the one controlling the trades, but oth;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-related-task_~021840022236192796603
 C++ Program( Top Urgent);My C++ program, which is dependent solely on CEF Chromium and Ultimate++, needs to be updated to function with the latest versions of these frameworks. The program has specific key features that must ;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/Program-Top-Urgent_~021839898821205642325
PDF form field markers;I have several Realtor contracts that I need field markers (ie: :|firstname|:) created, stored in a JSON file and placed in to the document. So I would need a template document with all the fields mar;Est. budget: $45.00;https://www.upwork.com/freelance-jobs/apply/PDF-form-field-markers_~021839838300116316091
DevOps Expert Needed;Hi i need someone who can make sure my code is scalable and it can handle alot of load i asked chat gpt what i can do to make it scalable and it said this 1. Migrate Media Storage to S3:Why it's cr;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/DevOps-Expert-Needed_~021839772413642017090
Simple graph needed;Need a simple line graph from data provided in the attached file. Black and white with no title. ;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Simple-graph-needed_~021839756765977752995
Fix python script;Fix python script code to get player name from player id on webiste midasbuy.com Pubg mobile;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Fix-span-class-highlight-python-span-script_~021839735499589793187
Build an Image Download/Upload Automation Bot (Flickr to Pinterest) in Python;I'm looking for an experienced Python developer to create a sophisticated automation bot that scrapes specific content from Flickr and reuploads it to my Pinterest account. The goal is to find and sha;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Build-Image-Download-Upload-Automation-Bot-Flickr-Pinterest-span-class-highlight-Python-span_~021839734336188817902
Programmer to create a script or App for multi-dialing | Hiring ASAP;I will need a programmer to make a script or application that will call a number several times using different phone numbers. I might need a developer that has access to several numbers using twilio o;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/Programmer-create-script-App-for-multi-dialing-Hiring-ASAP_~021839730573051254462
Need help building a scraper tool;I run a recruitment firm that works with mission driven organization. I want someone to create a scraper for me that can look at idealist each week and pull the jobs that are being advertised. I want ;Hourly: $40.00 - $50.00 ;https://www.upwork.com/freelance-jobs/apply/Need-help-building-scraper-tool_~021839723792904102236
Telegram API related task;I'm seeking a skilled developer to create a Windows-compatible bot that automates betting on Lightning Roulette. The bot should leverage bet recommendations from a Telegram group via the Telegram API.;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Telegram-API-related-task_~021839708367456189146
Software Contract Extract using AWS;Require the build of a relatively simple application on AWS to scan and analyse software contracts. High level approach below:1. Contracts (PDF but some may be word/excel) uploaded to S3 instance2.;Hourly: $13.00 - $30.00 ;https://www.upwork.com/freelance-jobs/apply/Software-Contract-Extract-using-AWS_~021839673646774198766
Urgent need to NodeBB 3.10.x;This is a simple job for someone that knows nodebb very well. Complete this and I may have ongoing work for you.The current developer does not seem to be able to complete this.The platform is NodeB;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/Urgent-need-NodeBB_~021839667615281324380
Python Developer Needed;please apply to this job if you have worked with Meta/Facebook APIs beforeI need someone to proof read my code to make sure its workingAGAIN ONLY IF YOU HAVE WORKED WITH META/FACEBOOK APIS just ap;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Developer-Needed_~021839665079879081844
Betting Automation related task;I'm seeking a skilled developer to create a Windows-compatible bot that automates betting on Lightning Roulette. The bot should leverage bet recommendations from a Telegram group via the Telegram API.;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Betting-Automation-related-task_~021839654689622186227
Need a frontend developer to create a chatbot UI;I am using django framework to create a chatbot app. I am using flowbite. However flowbite doesn't have a chat bot example. So I need someone with web design skills and good with html, css, etc to use;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Need-frontend-developer-create-chatbot_~021839619845510012788
NodeBB 3.10.x(Top Urgent);This is a simple job for someone that knows nodebb very well. Complete this and I may have ongoing work for you.The current developer does not seem to be able to complete this.The platform is NodeB;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/NodeBB-Top-Urgent_~021839619060091869361
Telegram bot related task;I'm seeking a skilled developer to create a Windows-compatible bot that automates betting on Lightning Roulette. The bot should leverage bet recommendations from a Telegram group via the Telegram API.;Est. budget: $70.00;https://www.upwork.com/freelance-jobs/apply/Telegram-bot-related-task_~021839618125506515477
