Job Title;Job Description;Job Payment;Job Link
Coding Expert;Position Overview:We are looking for a highly skilled Coding Expert to join our dynamic team. The ideal candidate will have extensive experience in software development, coding best practices, and a ;Est. budget: $5,000.00;https://www.upwork.com/freelance-jobs/apply/Coding-Expert_~021840110140637461210
Need Ghost CMS Developer for minor tweaks;Hi,I'm looking for a Ghost CMS website developer to make some minor tweaks to my custom Ghost theme.Someone with previous Ghost CMS experience will be a perfect fit.Please make sure to share som;Hourly: $12.00 - $20.00 ;https://www.upwork.com/freelance-jobs/apply/Need-Ghost-CMS-Developer-for-minor-tweaks_~021840102230091813717
WP Cpanel has been hacked, i want to solve it ASAP;Greetings everyone, my WP cpanel has been hacked and it’s generating thousands of .htaccess, like .htaccess1715624 etc..i want to delete these .htaccess files but it's not allowing me to. it's tellin;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Cpanel-has-been-hacked-want-solve-ASAP_~021840095388261752229
Run a PhP Laravel small project on a free hosting service;We have ready code stack for old small php laravel project.I need to run it on any free web hosting to see its UI and database. Time required less than 1 hour for any beginner programmer.Whoever;Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/Run-span-class-highlight-PhP-span-Laravel-small-project-free-hosting-service_~021840084441143117724
Apply jobs for me;I am looking for someone who can apply 1000 jobs for me.For applying jobs, platform doesn't matter. I'll pay 0.05 cents per job to apply. I'll send you the Resume and all other details. Please let me;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Apply-jobs-for_~021840044452560701340
Urgent Need to LUA  related Project;NO Game !NO Mobile Game !NO Graphics !NO Website !Please read completely before placing a bid !Please bid only if you also plan to respond...Please someone who is interested in doing several pr;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Urgent-Need-LUA-related-Project_~021840043348636351194
WooCommerce related task;Warning!!!! if you are geniune developer then message me privately with your solution after going through the documents. Unnecessary bids with no explanations will be rejected or ignoredI already ha;Est. budget: $80.00;https://www.upwork.com/freelance-jobs/apply/WooCommerce-related-task_~021840018879540548437
Work on a PHP website.;Hi,I have an existing PHP application that tracks if a link is live or not. I need some modifications and I want to enable other users to register and use same application.Thanks;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Work-span-class-highlight-PHP-span-website_~021840016403953899697
Laravel Fresher;We are looking for a dedicated fresher Laravel Developer to thoroughly test a live Laravel application and provide daily feedback to the lead developer. This is an excellent opportunity for fresh grad;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Laravel-Fresher_~021839914169734378915
 XML Or LUA  related urgent task;NO Game !NO Mobile Game !NO Graphics !NO Website !Please read completely before placing a bid !Please bid only if you also plan to respond...Please someone who is interested in doing several pr;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/XML-LUA-related-urgent-task_~021839902604353591539
